Expert,FBG,Material,Impact_Status,Impact_Start,Impact_Peak,Impact_End,Peak_Shift,Residual_Shift,Rise_Time,Recovery_Time,Peak_Width,Signal_Energy,Noise_Std_nm,SNR_Linear,SNR_dB,DSTI,PEI,SII,DRI,Index_Status
Expert 7,FBG1,Copper,NO IMPACT,,,,,,,,,,0.0017834917692829,,,,,,,NOT_APPLICABLE
Expert 7,FBG2,Bare,IMPACT,5.165268997506333,5.619944,5.739943,0.0018651398601184,0.0008812004662217,0.4546750024936674,0.1199989999999999,,6.195146439197367e-07,0.0004611611748603,4.0444425111966735,12.137173332331239,0.28299234895003983,0.3384737644521092,0.7675535787039439,0.9215299385832094,VALID
Expert 7,FBG3,Steel,NO IMPACT,,,,,,,,,,0.0007984094755174,,,,,,,NOT_APPLICABLE
Expert 8,FBG1,Copper,IMPACT,10.748858311153121,10.759892,10.799892,0.0057417832167847,0.0011398484848212,0.0110336888468793,0.0399999999999991,,1.5378335970782749e-06,0.0016965229370373,3.384441843628584,10.589741116438079,0.36844876051009295,0.37265584585238476,0.5738233949155416,0.99718134479207,VALID
Expert 8,FBG2,Bare,IMPACT,13.831403653177984,13.879861,34.159658,0.0218124708624057,0.0014536013985831,0.0484573468220155,20.279797,20.033267665233492,0.0075796682050947,0.0006971503146262,31.28804564063228,29.907568729208954,0.8480666556831973,0.33544187851934204,0.9303684907091031,0.32796820323767367,VALID
Expert 8,FBG3,Steel,NO IMPACT,,,,,,,,,,0.0010047466153608,,,,,,,NOT_APPLICABLE
Expert 9,FBG1,Copper,IMPACT,23.541863585470715,24.219757,24.259757,0.0096517016316906,0.0008083799533132,0.6778934145292865,0.0399999999999991,,1.2669826411010405e-05,0.0019898807481788,4.850391984808202,13.715536751262407,0.3317127983028449,0.4168814799883139,0.596757589344702,0.8864306717212769,VALID
Expert 9,FBG2,Bare,IMPACT,23.899761,23.899761,,0.0374665967365581,,0.0,,,0.0044551723660972,0.0005737558321535,65.30059414983769,36.298342656074844,0.8625818812443568,0.9881205089234619,0.9660868750724317,1.0,VALID
Expert 9,FBG3,Steel,IMPACT,26.68362361425868,26.799731,26.799731,0.002689778554872,0.0005165151515397,0.1161073857413228,0.0,,3.4760208221033403e-06,0.0010052995664133,2.67559904006382,8.548420629338475,0.3283247367624816,0.34105435345539964,0.738303305072305,0.9807171274195889,VALID
Expert 10,FBG1,Copper,IMPACT,7.309261907714182,10.319897,10.359896,0.0082465967365629,0.0013207808858064,3.010635092285817,0.0399990000000016,,2.2110186949696643e-05,0.002121206622363,3.8876913967844793,11.793835670388921,0.06069420271172033,0.3987232114196491,0.5531016081815465,0.49901382148943596,VALID
Expert 10,FBG2,Bare,IMPACT,4.439956,4.439956,21.459785,0.0147576223775669,0.0100472727273207,0.0,17.019829,17.07226271520149,0.0028785185901393,0.0005192210349836,28.422620393322525,29.07328229512205,0.5806170946111552,0.3080817280622728,0.7348416609245773,0.4364891247906435,VALID
Expert 10,FBG3,Steel,NO IMPACT,,,,,,,,,,0.000752255342647,,,,,,,NOT_APPLICABLE
Expert 11,FBG1,Copper,NO IMPACT,,,,,,,,,,0.0019188092587041,,,,,,,NOT_APPLICABLE
Expert 11,FBG2,Bare,IMPACT,2.8596323482265458,2.99997,,0.0089320629371358,,0.140337651773454,,,0.0001774516573006,0.0005936102307823,15.047016499975951,23.54900794405214,0.3917395631485323,0.19567751078342266,0.9536218122552845,0.9533860306972961,VALID
Expert 11,FBG3,Steel,NO IMPACT,,,,,,,,,,0.0006683104615432,,,,,,,NOT_APPLICABLE
Expert 12,FBG1,Copper,NO IMPACT,,,,,,,,,,0.0020668619021148,,,,,,,NOT_APPLICABLE
Expert 12,FBG2,Bare,IMPACT,2.8909400327978965,2.99997,8.759912,0.0184018881118997,0.0045736946387047,0.1090299672021033,5.759942000000001,0.1230469159525124,0.0001681885095829,0.0007683773217231,23.949025552489154,27.585756947256854,0.4834636515174268,0.5040324604295834,0.7875580654582993,0.8932538029857379,VALID
Expert 12,FBG3,Steel,NO IMPACT,,,,,,,,,,0.0008894044825032,,,,,,,NOT_APPLICABLE
Expert 13,FBG1,Copper,NO IMPACT,,,,,,,,,,0.0019503447483282,,,,,,,NOT_APPLICABLE
Expert 13,FBG2,Bare,IMPACT,17.690354463139364,18.519814,,0.0363422610722067,,0.8294595368606359,,,0.002261225835766,0.0005438446363208,66.82471177442915,36.49874188503392,0.6637264886806814,0.9842094149650451,0.9723415108481163,0.7244901785055355,VALID
Expert 13,FBG3,Steel,IMPACT,5.99994,5.99994,6.03994,0.0024389160838826,0.0004219114219045,0.0,0.04,1.738076195439989,1.3406153101542595e-06,0.0005144691118766,4.740646284839731,13.516751047855426,0.33873726468715554,0.3487785349194761,0.5982987664447705,0.9723040016183578,VALID
